Trial,Condition,Duration_Seconds,Filename_left,Filename_right,Is_repeat,Display,Category,Stim
0,NULL,16,,,0,,,NaN
1,3D_Object,1,Object_16_L.png,Object_16_R.png,0,3D,Object,16
1,NULL,3,,,0,,,NaN
2,3D_Face,1,Face_14_L.png,Face_14_R.png,0,3D,Face,14
2,NULL,7,,,0,,,NaN
3,2D_Hand,1,Hand_08_R.png,Hand_08_R.png,0,2D,Hand,8
3,NULL,7,,,0,,,NaN
4,2D_Face,1,Face_14_R.png,Face_14_R.png,0,2D,Face,14
4,NULL,3,,,0,,,NaN
5,3D_Hand,1,Hand_11_L.png,Hand_11_R.png,0,3D,Hand,11
5,NULL,7,,,0,,,NaN
6,2D_Face,1,Face_10_R.png,Face_10_R.png,0,2D,Face,10
6,NULL,7,,,0,,,NaN
7,3D_Object,1,Object_11_L.png,Object_11_R.png,0,3D,Object,11
7,NULL,3,,,0,,,NaN
8,3D_Object,1,Object_11_L.png,Object_11_R.png,1,3D,Object,11
8,NULL,3,,,0,,,NaN
9,3D_Hand,1,Hand_15_L.png,Hand_15_R.png,0,3D,Hand,15
9,NULL,3,,,0,,,NaN
10,2D_Object,1,Object_12_R.png,Object_12_R.png,0,2D,Object,12
10,NULL,3,,,0,,,NaN
11,2D_Hand,1,Hand_16_R.png,Hand_16_R.png,0,2D,Hand,16
11,NULL,3,,,0,,,NaN
12,3D_Hand,1,Hand_10_L.png,Hand_10_R.png,0,3D,Hand,10
12,NULL,7,,,0,,,NaN
13,2D_Hand,1,Hand_10_R.png,Hand_10_R.png,0,2D,Hand,10
13,NULL,3,,,0,,,NaN
14,3D_Object,1,Object_12_L.png,Object_12_R.png,0,3D,Object,12
14,NULL,3,,,0,,,NaN
15,2D_Object,1,Object_05_R.png,Object_05_R.png,0,2D,Object,5
15,NULL,3,,,0,,,NaN
16,3D_Face,1,Face_08_L.png,Face_08_R.png,0,3D,Face,8
16,NULL,3,,,0,,,NaN
17,3D_Object,1,Object_13_L.png,Object_13_R.png,0,3D,Object,13
17,NULL,3,,,0,,,NaN
18,2D_Face,1,Face_16_R.png,Face_16_R.png,0,2D,Face,16
18,NULL,3,,,0,,,NaN
19,3D_Face,1,Face_11_L.png,Face_11_R.png,0,3D,Face,11
19,NULL,3,,,0,,,NaN
20,2D_Object,1,Object_10_R.png,Object_10_R.png,0,2D,Object,10
20,NULL,3,,,0,,,NaN
21,2D_Object,1,Object_08_R.png,Object_08_R.png,0,2D,Object,8
21,NULL,3,,,0,,,NaN
22,3D_Object,1,Object_05_L.png,Object_05_R.png,0,3D,Object,5
22,NULL,3,,,0,,,NaN
23,3D_Object,1,Object_06_L.png,Object_06_R.png,0,3D,Object,6
23,NULL,3,,,0,,,NaN
24,2D_Hand,1,Hand_11_R.png,Hand_11_R.png,0,2D,Hand,11
24,NULL,7,,,0,,,NaN
25,3D_Face,1,Face_07_L.png,Face_07_R.png,0,3D,Face,7
25,NULL,3,,,0,,,NaN
26,2D_Face,1,Face_15_R.png,Face_15_R.png,0,2D,Face,15
26,NULL,3,,,0,,,NaN
27,2D_Hand,1,Hand_09_R.png,Hand_09_R.png,0,2D,Hand,9
